Country Name,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
"Congo, Rep.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.99071121,46.93104172,47.87004089,48.81466293,49.77184677,50.79999924,51.7495842,52.77139282,53.80828476,53.59999847,56.94135284,58.05186462,58.90000153,59.99497223,60.7423439,61.53419876,62.53659058,63.5681076,64.41847992,65.10942841,66.00507355,
Colombia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,97.9,98.70593262,98.80570221,98.9023056,98.99259186,99.2,99.14157867,99.19395447,99.22737122,99.24035645,99.40000153,99.91000366,99.1968689,99.1884613,99.19262695,99.30000305,99.26432037,99.33310699,99.71327972,99.60704803,99.77147675,99.78850555,99.72610474,99.82022858,99.83836365,99.80971527,99.80000305,99.90000153,99.90000153,100,100,
Comoros,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51.8,59.05176163,60.81581497,62.5594368,64.32091522,66.0304184,74.59999847,69.45238495,71.17874146,72.92461395,74.69482422,76.48580933,78.29187775,80.10733795,84.86328125,84.91187286,85.09999847,87.3506546,89.13665009,90.9131012,92.68192291,94.44502258,96.20431519,97.96169281,99.71875,
Cabo Verde,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,81.86114502,82.43199158,81.27494049,83.57666016,84.16436768,85,85.40315247,86.05548859,86.72290802,87.39971161,90.62070465,91.09709167,91.50092316,91.76580048,91.87596893,92.03062439,92.39582062,92.79013824,93.2488327,93.5,94.48597717,
Costa Rica,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99.80000305,99.87410736,99.86346436,99.88254547,99.84706879,99.89461517,99.93041992,99.9171524,99.92409515,99.92992401,99.74643707,99.96448517,99.98336792,99.93994904,99.70480347,99.92992401,99.80000305,99.80000305,99.90000153,99.91999817,99.94000244,
Caribbean small states,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,91.9159427,94.70651757,95.45959324,95.43286936,95.33710366,95.54673711,95.38789976,95.59903033,96.35610238,98.52773228,97.05557279,97.19159736,97.69838434,98.02336662,97.77839208,97.88130931,98.43146542,99.18536762,99.4131096,99.55112966,99.61356407,99.63296898,
Cuba,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,99.77854919,99.72693634,99.68093872,99.64750671,99.63358307,99.64401245,99.67520142,99.72148132,99.77714539,99.83652496,99.8939209,99.93746185,99.97227478,99.99180603,99.9988327,100,100,100,99.90000153,100,
Curacao,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99.50241089,99.56900024,99.6350708,99.69797516,99.75456238,99.80167389,99.83615112,99.85482788,99.85454559,99.83383179,100,100,100,100,100,100,100,99.60758972,99.6634903,99.72878265,100,100,100,100,100,100,100,100,100,100,100,
Cayman Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99.8430481,99.89846039,99.9473114,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,
Cyprus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,
Czechia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,
Germany,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,
Djibouti,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53.55210495,54.31375504,55.05644989,55.77871323,56.47273254,57.170578,56.90000153,58.56923676,59.28393936,60.01815033,62.40000153,61.55604172,62.35044861,63.15425491,63.96176529,64.76730347,64.24208069,66.35094452,67.12528229,67.89008331,68.64724731,,70.62119293,71.42930603,72.15770721,
Dominica,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Denmark,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,
Dominican Republic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,96.5,95.30583191,95.54391479,95.77568054,95.99797058,96.20761871,96.401474,96.57637024,98.9,96.57286072,96.94949341,96.67467499,95.0377655,95.52470398,95.18495941,94.38929749,99.60690308,99.57231903,99.73281097,99.76715851,99.71957397,99.65170288,99.8835907,99.85990906,99.82724762,99.90000153,100,99.59999847,99.59999847,100,
Algeria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99.44464874,99.40622711,99.36647797,99.33235168,99.31078339,99.30873108,99.33102417,99.37408447,100,99.49976349,99.57100677,99.64027405,99.25673676,99.75138092,99.7894516,99.81797791,99.83888245,99.85405731,99.93395233,99.80000305,99.88401031,
East Asia & Pacific (excluding high income),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98.22356296,98.16858263,98.24478223,98.62982314,98.38567224,98.46757376,98.60085206,98.86203476,98.95003921,97.9868606,98.18129402,98.29067269,98.35353103,98.46152521,98.5445887,98.67342292,98.77869499,98.84597274,98.91532921,98.97231202,98.9944104,
Early-demographic dividend,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,88.30388439,89.92156061,90.09740037,90.34211198,91.28660148,91.23045151,92.70287367,92.74957403,92.199201,93.02145243,93.47371365,93.44314074,93.87232456,94.45424147,94.64738808,95.09523934,96.22283181,95.78816561,95.66557672,96.78365412,96.88800812,97.30234087,97.45348832,97.86177851,98.51939494,98.50985588,98.82095271,98.92821941,
East Asia & Pacific,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98.58838917,98.53859929,98.59358834,98.89740877,98.69535277,98.75619311,98.85976782,99.06912457,99.13801502,98.33629913,98.49153105,98.57638123,98.6229356,98.7079759,98.77305943,98.87762903,98.96315777,99.01695631,99.0732208,99.11948044,99.13600401,
Europe & Central Asia (excluding high income),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,100,100,100,100,99.99492875,99.99722204,99.9880037,99.98806086,99.95474296,99.97098465,99.97175368,99.97572754,99.97295347,99.86474733,99.84834621,99.84436126,99.87403763,99.89669732,99.91892509,99.98338719,99.98083121,99.9841801,99.98047564,99.98777448,97.97635448,99.98823876,99.99119169,99.98928049,99.98643112,99.9822676,
Europe & Central Asia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,100,100,100,100,99.99830449,99.99903948,99.99584054,99.99587375,99.98410824,99.98832597,99.98865162,99.99027045,99.9891825,99.94600914,99.9395673,99.93806411,99.94992248,99.95893962,99.96774937,99.993381,99.99233798,99.99366574,99.99216764,99.99508472,99.18443412,99.98713151,99.99643712,99.99566108,99.99450197,99.99280891,
Ecuador,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,97.908304,99.05529785,99.10906219,99.626074,99.289697,99.18326569,99.16448212,99.14437103,99.29113007,99.12794495,99.66875458,99.52588654,99.63354492,99.58668518,98.98438263,99.71504974,99.78308105,99.62886047,99.54737091,99.83164215,99.86940765,99.80000305,100,99.69999695,99.83999634,99.66000366,
